Date,Open,High,Low,Close
03-Jan-11,13457.99,13524.09,13425.14,13454.28
04-Jan-11,13465.74,13477.94,13100.58,13121.12
05-Jan-11,13104.58,13104.58,12791.45,12833.69
06-Jan-11,12872.84,12909.67,12662.31,12687.51
07-Jan-11,12659.25,12748.48,12460.08,12512.18
10-Jan-11,12520.76,12553.31,12101.83,12137.39
11-Jan-11,12168.04,12420.14,12038.59,12288.49
12-Jan-11,12389.55,12645.47,12181.12,12615.94
13-Jan-11,12627.21,12627.21,12140.71,12170.03
14-Jan-11,12189.34,12369.12,11799.65,11850.6
17-Jan-11,11900.94,11988.8,11777.85,11878.12
18-Jan-11,11940.55,12106.34,11930.96,12048.52
19-Jan-11,12087.13,12154.34,11996.78,12053.82
20-Jan-11,12008.82,12329.49,11919.25,12254.41
21-Jan-11,12225.54,12394.34,12194.23,12348.97
24-Jan-11,12417.62,12671.13,12379,12645.88
25-Jan-11,12691.23,12775.97,12317.24,12349.75
27-Jan-11,12423.6,12455.96,12078.96,12121.83
28-Jan-11,12123.2,12163.95,11878.17,11986.71
31-Jan-11,11873.18,12123.11,11776.92,12064.01
01-Feb-11,12099.06,12116.86,11863.46,11889.73
02-Feb-11,12010.66,12046.46,11822.69,11869.35
03-Feb-11,11881.11,12132.09,11838.04,12111.66
04-Feb-11,12074.39,12223.75,11785,11841.42
07-Feb-11,11877.76,11939.13,11764.71,11799.22
08-Feb-11,11832.42,11842.55,11498.58,11530.21
09-Feb-11,11516.76,11670.73,11396.33,11477.73
10-Feb-11,11451.84,11596.88,11353.33,11442.33
11-Feb-11,11464.88,11867.8,11422.26,11842.9
14-Feb-11,11947.58,12257.69,11947.58,12242.39
15-Feb-11,12281.76,12499.52,12166,12429.32
16-Feb-11,12409.98,12508.16,12385.32,12450.75
17-Feb-11,12442.88,12686.65,12394.75,12637.93
18-Feb-11,12654.21,12823.92,12376.91,12419.72
21-Feb-11,12412.93,12564.34,12270.55,12543.13
22-Feb-11,12451.06,12451.06,12249.21,12311.27
23-Feb-11,12250.51,12321.15,12079.25,12096.34
24-Feb-11,12087.17,12087.17,11568.19,11616.59
25-Feb-11,11703.07,11909.62,11646.47,11832.23
28-Feb-11,11903.15,12176.98,11754.04,11840.34
01-Mar-11,11927.11,12381.23,11927.11,12355.22
03-Mar-11,12286.62,12541.17,12213.17,12379.13
04-Mar-11,12492.42,12620.98,12401.49,12444.59
07-Mar-11,12354.19,12354.19,12115.46,12245.52
08-Mar-11,12268.55,12455.01,12267.81,12427.24
09-Mar-11,12474.71,12560.43,12393.19,12457.75
10-Mar-11,12385.26,12385.26,12253.75,12313.14
11-Mar-11,12261.87,12375.67,12150.83,12192.75
14-Mar-11,12187.63,12385.46,12187.63,12358.31
