Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2012,677.00,680.00,674.00,678.80,676.595673678565043799,50343,1375,34061856.00,27591,54.81,6.00,1.80
28-December-2012,679.35,682.00,674.50,677.60,677.368272685764199074,50373,1127,34121072.00,28256,56.09,7.50,-1.75
27-December-2012,682.00,682.85,676.50,679.35,679.199008687903764758,89780,964,60978487.00,53257,59.32,6.35,-2.65
26-December-2012,677.00,685.00,673.10,680.35,679.897133096756143889,67913,1505,46173854.00,37823,55.69,11.90,3.35
24-December-2012,681.00,689.00,671.75,675.20,674.679709946641127377,36545,1943,24656170.00,18749,51.30,17.25,-5.80
21-December-2012,683.00,683.00,674.00,676.30,676.972243346007604562,31560,1125,21365244.00,9569,30.32,9.00,-6.70
20-December-2012,687.40,687.40,680.05,683.00,682.964080660971852681,399896,6092,273114604.00,362999,90.77,7.35,-4.40
19-December-2012,675.00,689.25,675.00,687.40,684.493091696827199957,75706,1927,51820234.00,37087,48.99,14.25,12.40
18-December-2012,678.00,682.00,670.00,675.65,675.412226676171888695,171134,2497,115585996.00,102577,59.94,12.00,-2.35
17-December-2012,687.00,687.80,674.15,677.65,680.904265628672339576,310599,3151,211488184.00,65406,21.06,13.65,-9.35
14-December-2012,692.00,694.20,685.15,688.70,688.872899488853107405,370148,2183,254984926.00,113001,30.53,9.05,-3.30
13-December-2012,693.00,695.95,688.55,691.40,693.467898971556484447,175119,1492,121439405.00,136670,78.04,7.40,-1.60
12-December-2012,690.50,695.70,688.55,693.35,692.898486223587452294,171888,2351,119100935.00,135153,78.63,7.15,2.85
11-December-2012,692.25,699.25,686.10,690.70,694.388272672160226328,89074,2123,61851941.00,41637,46.74,13.15,-1.55
10-December-2012,691.50,696.60,689.40,692.55,692.558798915648000457,139807,1992,96824568.00,113950,81.51,7.20,1.05
7-December-2012,694.05,697.90,688.00,692.50,690.791673120702199065,213045,5262,147169712.00,142847,67.05,9.90,-1.55
6-December-2012,695.00,698.65,680.90,694.00,684.698585243815013679,341755,9235,233999165.00,273459,80.02,17.75,-1.00
5-December-2012,688.00,694.95,688.00,692.35,692.815292290125997424,75319,1592,52182155.00,37590,49.91,6.95,4.35
4-December-2012,686.20,689.95,681.30,684.65,684.753556759330912554,134392,3048,92025400.00,92728,69.00,8.65,-1.55
3-December-2012,700.00,700.00,684.05,687.00,688.329931496242985554,271226,2797,186692974.00,185500,68.39,15.95,-13.00
30-November-2012,700.90,705.00,689.45,703.65,697.806372526764067593,110129,3160,76848718.00,43355,39.37,15.55,2.75
29-November-2012,680.20,703.50,670.00,698.75,690.999170096205563032,410891,8064,283925340.00,240399,58.51,33.50,18.55
27-November-2012,665.90,683.80,665.00,680.20,678.753590382399017260,144901,4463,98352074.00,99401,68.60,18.80,14.30
26-November-2012,670.00,670.55,660.65,662.35,664.291684225312543896,42714,1124,28374555.00,18277,42.79,9.90,-7.65
23-November-2012,670.00,672.50,659.90,669.50,665.728188695451091804,60542,1388,40304516.00,17048,28.16,12.60,-0.50
22-November-2012,665.00,671.00,664.05,669.25,668.377314696403908128,156392,2250,104528865.00,112392,71.87,6.95,4.25
21-November-2012,652.00,665.80,649.20,662.40,659.392564556852029757,207143,2473,136588554.00,123563,59.65,16.60,10.40
20-November-2012,650.00,655.00,648.50,652.35,652.202693836025449156,135643,1949,88466730.00,96448,71.10,6.50,2.35
19-November-2012,643.00,649.00,640.10,648.00,644.206682935986483949,42616,1017,27453512.00,21853,51.28,8.90,5.00
16-November-2012,648.85,648.85,640.00,642.45,645.181777857632143378,178102,2585,114908165.00,109036,61.22,8.85,-6.40
15-November-2012,650.00,650.00,639.50,645.80,643.966842026842714529,87249,3307,56185463.00,59340,68.01,10.50,-4.20
13-November-2012,653.00,655.00,646.35,647.35,648.453069954705586311,23844,889,15461715.00,14666,61.51,8.65,-5.65
12-November-2012,638.00,652.85,638.00,651.15,643.229289572553512159,968051,2357,622678757.00,44693,4.62,14.85,13.15
9-November-2012,640.00,642.90,635.00,639.30,639.649326573849878934,26432,1148,16907211.00,9358,35.40,7.90,-0.70
8-November-2012,640.00,640.90,636.00,638.70,638.512137609964025514,33079,1047,21121343.00,9073,27.43,4.90,-1.30
7-November-2012,639.55,645.05,636.95,640.15,641.982354127792626960,198290,2216,127298681.00,122445,61.75,8.10,0.60
6-November-2012,632.00,641.00,632.00,639.80,638.705455594715472289,48519,1039,30989350.00,25399,52.35,9.00,7.80
5-November-2012,634.50,636.20,630.55,635.15,632.972971709579102858,106962,1786,67704055.00,73294,68.52,5.65,0.65
2-November-2012,634.00,635.85,628.50,631.30,631.175043405713770321,44349,1494,27991982.00,12165,27.43,7.35,-2.70
1-November-2012,636.00,636.00,628.00,628.90,632.433735704201893945,126086,2884,79741040.00,78253,62.06,8.00,-7.10
31-October-2012,633.95,635.85,630.15,634.55,633.429839767263080146,66341,2143,42022369.00,34035,51.30,5.70,0.60
30-October-2012,640.00,644.90,630.00,633.95,637.556912706969242770,228174,4300,145473911.00,133230,58.39,14.90,-6.05
29-October-2012,637.00,642.40,634.75,640.55,640.051572018007211555,138389,2412,88576097.00,107961,78.01,7.65,3.55
