Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2012,1140.00,1143.80,1134.00,1137.30,1138.323510468808262053,88501,2768,100742769.00,32740,36.99,9.80,-2.70
28-December-2012,1140.00,1147.00,1129.30,1142.25,1137.618128192653855509,131552,3892,149655940.00,46000,34.97,17.70,2.25
27-December-2012,1152.80,1154.00,1133.30,1137.45,1142.722822685986816124,164595,5093,188086463.00,45215,27.47,20.70,-15.35
26-December-2012,1123.60,1149.80,1121.50,1147.95,1140.866940298507462686,160800,4987,183451404.00,45702,28.42,28.30,24.35
24-December-2012,1124.00,1129.40,1113.50,1121.25,1120.436184670494984170,127297,4850,142628165.00,37152,29.19,15.90,-2.75
21-December-2012,1135.00,1138.00,1119.30,1122.70,1130.726967565556680249,115587,4057,130697338.00,24123,20.87,18.70,-12.30
20-December-2012,1144.00,1144.55,1129.40,1138.15,1138.451644932295087093,127908,4576,145617073.00,20186,15.78,15.15,-5.85
19-December-2012,1154.00,1159.00,1132.65,1138.50,1141.249907196266638383,150856,5219,172164396.00,35512,23.54,26.35,-15.50
18-December-2012,1148.00,1153.05,1117.30,1148.75,1140.805332447929842313,379488,9414,432921934.00,102319,26.96,35.75,0.75
17-December-2012,1131.55,1149.00,1131.50,1143.60,1145.259341201121622038,162265,4601,185835507.00,71173,43.86,17.50,12.05
14-December-2012,1115.00,1139.00,1113.55,1136.30,1124.128482482553667706,534353,7479,600681427.00,138401,25.90,25.45,21.30
13-December-2012,1119.80,1132.85,1116.10,1121.65,1124.516677100403233230,217244,7223,244294501.00,86241,39.70,16.75,1.85
12-December-2012,1125.00,1132.40,1106.00,1112.75,1120.407552498363442562,291771,8973,326902432.00,123561,42.35,26.40,-12.25
11-December-2012,1127.80,1149.00,1108.70,1122.40,1129.378820749858371530,310672,9232,350866377.00,93264,30.02,40.30,-5.40
10-December-2012,1139.00,1140.00,1118.00,1121.00,1126.841860000315575214,190129,5298,214245316.00,76529,40.25,22.00,-18.00
7-December-2012,1140.35,1144.00,1122.25,1130.85,1135.166968380400675838,232008,7021,263367818.00,90467,38.99,21.75,-9.50
6-December-2012,1132.00,1143.50,1101.60,1135.05,1121.652904827347537743,300517,9301,337075766.00,122116,40.64,41.90,3.05
5-December-2012,1121.90,1128.00,1108.00,1119.30,1119.019725430376988450,229450,6016,256759076.00,100785,43.92,20.00,-2.60
4-December-2012,1100.00,1123.25,1095.05,1119.15,1113.777421919618360787,267897,9101,298377630.00,97339,36.33,28.20,19.15
3-December-2012,1096.90,1114.00,1093.15,1102.25,1101.083992248803566206,365879,8242,402863510.00,208660,57.03,20.85,5.35
30-November-2012,1100.00,1104.70,1091.20,1098.60,1098.647705172090805361,293595,9627,322557473.00,120217,40.95,13.50,-1.40
29-November-2012,1047.10,1089.80,1045.00,1081.75,1060.639354486320075475,503475,11241,534005399.00,269645,53.56,44.80,34.65
27-November-2012,1029.35,1037.00,1026.00,1034.25,1030.428771587828576650,623789,6848,642770133.00,489911,78.54,11.00,4.90
