Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2012,840.00,875.00,840.00,871.35,868.902131291060642845,271854,8069,236214520.00,80864,29.75,35.00,31.35
28-December-2012,849.00,850.75,840.10,843.50,845.027815859730139259,27718,1162,23422481.00,5907,21.31,10.65,-5.50
27-December-2012,842.00,854.00,841.30,845.20,847.448718374394050069,60236,2175,51046921.00,18755,31.14,12.70,3.20
26-December-2012,836.05,848.25,830.25,841.85,840.963593699380970309,114211,2471,96047293.00,75950,66.50,18.00,5.80
24-December-2012,831.70,840.50,825.00,833.05,833.244818577648766328,34450,1568,28705284.00,7179,20.84,15.50,1.35
21-December-2012,845.50,848.30,825.50,831.65,838.074699407281964436,59050,2249,49488311.00,15737,26.65,22.80,-13.85
20-December-2012,848.00,859.00,840.00,852.25,849.983354357881305551,68967,2643,58620802.00,14787,21.44,19.00,4.25
19-December-2012,849.00,861.95,842.25,850.90,853.313880614798045990,83930,3817,71618634.00,16753,19.96,19.70,1.90
18-December-2012,844.20,848.25,819.05,844.40,838.541397629052645963,117084,4892,98179781.00,16607,14.18,29.20,0.20
17-December-2012,835.00,841.50,833.80,838.05,837.692963297089406960,42122,1614,35285303.00,7520,17.85,7.70,3.05
14-December-2012,810.00,838.00,806.00,831.60,822.338146811070998796,88917,3749,73119841.00,16943,19.05,32.00,21.60
13-December-2012,838.00,844.00,815.00,818.75,830.971984128104833585,70817,3409,58846943.00,15182,21.44,29.00,-19.25
12-December-2012,834.00,839.70,824.05,825.80,830.604761228643097165,42258,2093,35099696.00,7383,17.47,15.65,-8.20
11-December-2012,841.10,852.00,820.00,829.15,837.057372395046813651,82775,3556,69287424.00,23138,27.95,32.00,-11.95
10-December-2012,821.00,842.75,815.00,839.60,832.003207698476343223,68585,3129,57062940.00,20587,30.02,27.75,18.60
7-December-2012,822.45,832.35,816.25,821.00,824.516912710023496032,67671,2739,55795884.00,13007,19.22,16.10,-1.45
6-December-2012,816.00,825.00,801.95,822.45,814.166979560538353737,75638,3309,61581962.00,17347,22.93,23.05,6.45
5-December-2012,791.00,821.00,791.00,813.00,809.275786386264553009,100237,5051,81119377.00,28241,28.17,30.00,22.00
4-December-2012,781.80,790.45,779.00,786.05,785.811002575011195700,71456,1915,56150911.00,33708,47.17,11.45,4.25
3-December-2012,785.00,792.60,777.00,782.50,783.964381810843535584,29732,1442,23308829.00,6674,22.45,15.60,-2.50
30-November-2012,769.20,789.00,769.20,785.60,780.254914124674311845,56419,2452,44021202.00,15765,27.94,19.80,16.40
29-November-2012,755.00,770.90,755.00,766.40,762.840534151493813499,39764,1753,30333591.00,15534,39.07,15.90,11.40
27-November-2012,744.00,757.70,738.00,754.15,749.809438186401537186,56727,2183,42534440.00,15516,27.35,19.70,10.15
26-November-2012,735.00,743.70,732.10,740.00,739.003969880687824980,46349,1967,34252095.00,12924,27.88,11.60,5.00
23-November-2012,735.00,738.00,729.10,734.25,733.518196312214057950,28852,1315,21163467.00,8025,27.81,8.90,-0.75
22-November-2012,733.00,738.95,730.20,734.05,734.253443393962662571,41674,1923,30599278.00,6552,15.72,8.75,1.05
21-November-2012,735.00,737.35,725.10,727.70,730.105672997728804252,80134,2569,58506288.00,37388,46.66,12.25,-7.30
20-November-2012,745.00,747.00,728.20,731.05,735.643908624413052523,50473,2315,37130155.00,14123,27.98,18.80,-13.95
19-November-2012,746.00,749.85,736.90,744.95,742.333208448461574486,42706,1776,31702082.00,9722,22.76,12.95,-1.05
16-November-2012,762.90,768.45,740.00,743.30,754.121255676373786610,48006,1873,36202345.00,24711,51.47,28.45,-19.60
