Year,Date,Event,Type
2012,27-11-2012,Information Meeting,General meeting
2012,03-12-2012,Information Meeting,General meeting
2012,08-11-2012,"Financial Results Presentation for Second Quarter of FY Ended March 31, 2013",Quarterly result
2012,08-11-2012,"Financial Results for Second Quarter of FY Ended March 31, 2013",Quarterly result
2012,09-08-2012,"Financial Results Presentation for First Quarter of FY Ended March 31, 2013",Quarterly result
2012,09-08-2012,"Financial Results for First Quarter of FY Ended March 31, 2013",Quarterly result
2012,28-06-2012,14th General Meeting of Stockholders,General meeting
2012,28-06-2012,Briefing on Latest Management News,General meeting
2012,24-05-2012,Dividend - Rs. - 35.0000,Dividend
2012,28-05-2012,Information Meeting,General meeting
2012,01-06-2012,,General meeting
2012,27-04-2012,"Financial Results Presentation for FY Ended March 31, 2012",Quarterly result
2012,27-04-2012,"Financial Results for FY Ended March 31, 2012",Quarterly result
2012,31-01-2012,"Financial Results Presentation for Third Quarter of FY Ended March 31, 2012",Quarterly result
2012,31-01-2012,"Financial Results for Third Quarter of FY Ended March 31, 2012",Quarterly result
2011,28-11-2011,Information Meeting,General meeting
2011,01-12-2011,Information Meeting,General meeting
2011,26-10-2011,"Financial Results Presentation for Second Quarter of FY Ended March 31, 2012",Quarterly result
2011,26-10-2011,"Financial Results for Second Quarter of FY Ended March 31, 2012",Quarterly result
2011,28-07-2011,"Financial Results Presentation for First Quarter of FY Ended March 31, 2012",Quarterly result
2011,28-07-2011,"Financial Results for First Quarter of FY Ended March 31, 2012",Quarterly result
2011,29-08-2011,13th General Meeting of Stockholders,General meeting
2011,29-08-2011,Briefing on Latest Management News,General meeting
2011,20-05-2011,Dividend - Rs. - 30.0000,Dividend
2011,31-05-2011,Information Meeting,General meeting
2011,02-06-2011,,General meeting
2011,27-04-2011,"Financial Results Presentation for FY Ended March 31, 2011",Quarterly result
2011,27-04-2011,"Financial Results for FY Ended March 31, 2011",Quarterly result
2011,26-01-2011,"Financial Results Presentation for Third Quarter of FY Ended March 31, 2011",Quarterly result
2011,26-01-2011,"Financial Results for Third Quarter of FY Ended March 31, 2011",Quarterly result
